Distance (m),RSSI
1,-59
1,-58
1,-61
1,-58
1,-58
1,-59
1,-59
1,-58
1,-56
1,-58
1,-59
1,-58
1,-58
1,-58
1,-59
1,-59
1,-59
1,-60
1,-58
1,-58
1,-59
1,-59
1,-58
1,-58
1,-59
1,-59
1,-59
1,-59
1,-58
1,-60
1,-58
1,-59
1,-58
1,-57
1,-57
1,-57
1,-58
1,-58
1,-58
1,-58
1,-59
1,-59
1,-57
1,-57
1,-58
1,-60
1,-57
1,-57
1,-57
1,-58
1,-58
1,-57
1,-56
1,-57
1,-57
1,-58
1,-57
1,-58
1,-58
1,-58
1,-57
1.5,-66
1.5,-65
1.5,-63
1.5,-65
1.5,-64
1.5,-67
1.5,-66
1.5,-66
1.5,-67
1.5,-67
1.5,-67
1.5,-64
1.5,-68
1.5,-67
1.5,-68
1.5,-67
1.5,-70
1.5,-70
1.5,-67
1.5,-66
1.5,-66
1.5,-66
1.5,-65
1.5,-67
1.5,-65
1.5,-65
1.5,-64
1.5,-67
1.5,-70
1.5,-71
1.5,-68
1.5,-68
1.5,-67
1.5,-71
1.5,-64
1.5,-65
1.5,-66
1.5,-64
1.5,-66
1.5,-68
1.5,-66
1.5,-64
1.5,-66
1.5,-66
1.5,-68
1.5,-67
1.5,-65
1.5,-66
1.5,-65
1.5,-67
1.5,-68
1.5,-66
1.5,-65
1.5,-65
1.5,-66
1.5,-66
1.5,-66
1.5,-67
1.5,-64
1.5,-67
1.5,-66
1.5,-64
1.5,-63
1.5,-64
1.5,-64
1.5,-65
1.5,-65
1.5,-63
1.5,-64
1.5,-64
1.5,-65
1.5,-65
1.5,-65
1.5,-67
1.5,-66
1.5,-67
1.5,-67
1.5,-68
2,-68
2,-68
2,-68
2,-71
2,-71
2,-70
2,-72
2,-71
2,-70
2,-71
2,-71
2,-69
2,-69
2,-68
2,-67
2,-68
2,-69
2,-74
2,-72
2,-72
2,-72
2,-73
2,-69
2,-74
2,-69
2,-70
2,-71
2,-71
2,-70
2,-70
2,-68
2,-69
2,-71
2,-70
2,-70
2,-72
2,-70
2,-69
2,-68
2,-69
2,-69
2,-73
2,-70
2,-69
2,-71
2,-71
2,-70
2,-69
2,-69
2,-70
2,-69
2,-68
2,-68
2,-68
2,-68
2,-70
2,-69
2,-69
2,-67
2.8,-70
2.8,-72
2.8,-72
2.8,-74
2.8,-72
2.8,-70
2.8,-69
2.8,-72
2.8,-69
2.8,-68
2.8,-70
2.8,-69
2.8,-70
2.8,-70
2.8,-67
2.8,-72
2.8,-72
2.8,-75
2.8,-73
2.8,-73
2.8,-72
2.8,-72
2.8,-71
2.8,-71
2.8,-71
2.8,-70
2.8,-71
2.8,-70
2.8,-70
2.8,-70
2.8,-71
2.8,-70
2.8,-71
2.8,-71
2.8,-71
2.8,-71
2.8,-71
2.8,-71
2.8,-71
2.8,-71
2.8,-72
2.8,-72
2.8,-71
2.8,-71
2.8,-72
2.8,-78
2.8,-71
2.8,-75
2.8,-72
2.8,-69
2.8,-68
2.8,-71
3.15,-76
3.15,-78
3.15,-81
3.15,-73
3.15,-77
3.15,-75
3.15,-77
3.15,-76
3.15,-77
3.15,-77
3.15,-78
3.15,-81
3.15,-75
3.15,-78
3.15,-83
3.15,-77
3.15,-74
3.15,-79
3.15,-73
3.15,-76
3.15,-73
3.15,-73
3.15,-72
3.15,-75
3.15,-75
3.15,-79
3.15,-76
3.15,-77
3.15,-76
3.15,-74
3.15,-77
3.15,-76
3.15,-76
3.15,-71
3.15,-73
3.15,-73
3.15,-75
3.15,-72
3.15,-74
3.15,-76
3.15,-76
3.15,-76
3.15,-78
3.15,-73
3.15,-76
3.15,-75
3.15,-75
3.15,-75
3.15,-82
6.3,-89
6.3,-82
6.3,-93
6.3,-90
6.3,-78
6.3,-85
6.3,-88
6.3,-88
6.3,-83
6.3,-90
6.3,-84
6.3,-80
6.3,-81
6.3,-81
6.3,-89
6.3,-92
6.3,-83
6.3,-80
6.3,-88
6.3,-85
6.3,-90
6.3,-84
6.3,-86
6.3,-83
6.3,-88
6.3,-87
6.3,-79
6.3,-81
6.3,-82
6.3,-81
6.3,-83
6.3,-87
6.3,-86
6.3,-89
6.3,-84
6.3,-88
6.3,-86
6.3,-87
6.3,-82
6.3,-85
6.3,-89
6.3,-89
6.3,-88
6.3,-91
6.3,-83
6.3,-82
6.3,-83
6.3,-83
6.3,-87
6.3,-82
6.3,-82
6.3,-86
6.3,-81
6.3,-82
6.3,-91
6.3,-88
6.3,-85
6.3,-87
6.3,-85
6.3,-84
6.3,-85
6.3,-84
6.3,-88
6.3,-88
6.3,-89
6.3,-90
6.3,-86
6.3,-84
6.3,-90
6.3,-89
6.3,-86
6.3,-91
6.3,-89
6.3,-88
6.3,-78
